iter	MAE	RMSE
0	13835.26595	32319.11384
1	13177.36166	30954.38235
2	12566.26614	29638.97861
3	11973.0584	28366.86021
4	11409.44571	27181.57149
5	10885.75593	26036.39059
6	10399.69064	24948.9045
7	9940.946867	23915.67974
8	9482.675645	22905.55832
9	9040.780041	21950.53938
10	8629.834909	21044.18695
11	8254.90646	20221.59825
12	7878.611062	19394.11335
13	7522.30486	18617.42825
14	7184.999517	17872.93583
15	6865.342245	17179.92234
16	6582.552898	16543.1446
17	6302.007446	15931.68973
18	6024.378798	15306.54166
19	5764.934945	14718.61351
20	5524.110303	14181.84283
21	5292.376348	13668.47358
22	5074.742926	13179.08721
23	4868.097272	12736.12571
24	4658.436911	12288.57848
25	4468.746454	11883.8791
26	4285.466665	11496.48906
27	4109.899361	11120.43612
28	3935.496125	10745.16447
29	3769.636739	10375.76099
30	3637.284114	10066.35721
31	3498.798077	9767.725672
32	3355.532925	9460.122024
33	3223.552017	9177.63591
34	3107.685906	8922.869762
35	2989.372788	8662.598833
36	2879.783132	8433.149518
37	2776.315029	8208.955929
38	2677.617935	8003.527568
39	2580.963579	7807.847949
40	2496.093456	7622.688358
41	2421.391802	7451.932945
42	2344.386024	7290.980479
43	2264.306902	7117.80692
44	2189.703119	6958.220679
45	2129.289552	6823.596098
46	2066.92537	6690.846775
47	2002.629913	6554.189649
48	2003.592825	6529.022208
49	1940.658778	6387.646897
50	1883.777453	6256.477851
51	1825.746289	6128.299725
52	1785.76366	6033.617637
53	1737.335373	5931.286202
54	1739.611924	5909.002918
55	1740.817968	5886.449965
56	1742.9214	5865.108417
57	1695.247206	5756.111677
58	1649.472768	5652.407374
59	1651.353921	5631.784245
60	1619.00202	5558.550352
61	1585.051476	5478.123984
62	1549.185308	5391.528373
63	1550.849329	5371.708255
64	1520.343783	5299.586762
65	1490.786691	5227.1921
66	1462.192498	5152.441626
67	1446.759019	5112.391953
68	1447.735571	5093.594217
69	1448.918912	5075.367233
70	1423.30772	5016.574378
71	1404.601724	4969.691436
72	1375.720986	4896.226814
73	1352.24785	4832.424872
74	1334.459856	4782.510535
75	1335.911657	4766.042071
76	1324.382151	4733.894298
77	1299.831165	4669.552862
78	1301.318198	4653.953856
79	1296.651581	4624.866916
80	1288.681184	4596.377326
81	1290.418124	4581.407293
82	1273.467343	4535.140247
83	1260.054618	4499.300329
84	1251.913742	4471.249697
85	1253.487276	4457.638684
86	1254.965748	4444.334078
87	1247.038094	4416.605746
88	1247.751534	4403.061303
89	1249.027319	4390.543663
90	1250.184804	4378.30133
91	1227.166874	4317.633088
92	1215.695548	4286.522017
93	1216.708015	4274.877162
94	1217.812728	4263.54246
95	1194.242739	4203.297781
96	1183.433741	4174.45914
97	1176.593236	4151.582603
98	1172.883866	4133.702647
99	1173.740269	4123.085574
100	1166.891396	4100.842087
101	1161.648545	4077.947795
102	1154.776213	4055.891277
103	1155.462836	4045.750782
104	1156.477128	4036.301543
105	1151.510182	4016.65014
106	1147.039275	3997.844019
107	1147.155006	3988.835783
108	1131.025136	3941.569661
109	1131.600467	3932.989899
110	1131.977215	3924.30626
111	1119.982313	3888.428493
112	1115.707515	3872.118072
113	1116.57891	3864.251901
114	1102.656963	3822.134435
115	1098.395856	3805.005079
116	1091.558204	3779.859818
117	1092.274998	3772.616202
118	1092.923773	3765.495086
119	1080.589241	3728.303426
120	1081.063988	3721.464534
121	1081.811877	3714.78366
122	1082.360043	3708.286052
123	1077.137919	3691.168911
124	1063.633668	3652.505208
125	1063.15423	3644.009463
126	1063.492643	3637.993199
127	1060.267726	3625.00489
128	1060.714774	3619.288043
129	1058.170757	3607.010749
130	1043.369524	3564.1346
131	1041.7307	3552.416877
132	1039.349788	3540.133231
133	1038.526615	3530.220542
134	1034.748257	3513.918132
135	1034.835629	3508.859632
136	1021.701234	3467.692052
137	1021.351133	3459.549556
138	1021.509846	3454.454933
139	1009.843308	3418.472316
140	1008.225819	3408.721495
141	1008.554707	3404.315514
142	1007.372819	3394.674184
143	1007.546994	3390.44124
144	1007.705167	3386.271513
145	996.1979603	3353.032636
146	996.4688144	3349.089526
147	993.1682291	3335.974332
148	990.4951259	3325.962251
149	982.2091117	3301.757248
150	976.8252889	3280.96831
151	967.4749122	3253.547532
152	967.6632181	3250.066216
153	965.6998811	3239.099067
154	965.876378	3235.774089
155	964.2307959	3227.951165
156	957.47869	3204.316138
157	957.6298128	3201.16522
158	957.7194558	3198.563388
159	957.8774343	3195.555917
160	958.0071791	3192.651855
161	958.2708001	3189.667227
162	956.3447211	3180.451821
163	954.2040291	3172.842636
164	954.3849134	3170.141677
165	954.4480581	3167.972506
166	944.5788444	3137.781008
167	937.6193219	3115.542021
168	930.7595706	3091.396725
169	924.1094047	3072.002932
170	922.746695	3064.981808
171	916.2114054	3046.512803
172	916.1795029	3043.828209
173	916.3060701	3041.535275
174	915.2970706	3035.389977
175	906.5042679	3008.998215
176	906.2762138	3006.368859
177	906.2191209	3004.340553
178	905.7481363	2999.863745
179	898.98985	2977.173003
180	898.9747053	2975.614458
181	898.9668912	2974.098299
182	898.9827925	2972.217933
