iter	Passed	Remaining
0	272	271776
1	540	269720
2	858	285191
3	1176	292996
4	1462	291119
5	1766	292644
6	2052	291151
7	2312	286706
8	2582	284311
9	2845	281655
10	3086	277541
11	3364	276977
12	3667	278440
13	3831	269870
14	4180	274491
15	4472	275030
16	4776	276221
17	5077	277025
18	5337	275561
19	5625	275632
20	5900	275085
21	6172	274413
22	6441	273638
23	6716	273119
24	7007	273276
25	7154	268013
26	7421	267435
27	7688	266903
28	8022	268628
29	8315	268876
30	8390	262261
31	8474	256354
32	8769	256964
33	9037	256770
34	9308	256653
35	9613	257418
36	9854	256484
37	10119	256185
38	10419	256745
39	10712	257098
40	10965	256477
41	11255	256736
42	11550	257063
43	11810	256605
44	12111	257031
45	12419	257572
46	12712	257773
47	12960	257044
48	13066	253597
49	13327	253221
50	13585	252796
51	13875	252954
52	14134	252545
53	14424	252688
54	14453	248328
55	14714	248048
56	14746	243971
57	15007	243735
58	15295	243952
59	15336	240276
60	15606	240235
61	15861	239975
62	16159	240346
63	16427	240257
64	16702	240253
65	16996	240522
66	17285	240702
67	17443	239078
68	17502	236161
69	17777	236181
70	18050	236180
71	18370	236770
72	18691	237350
73	18991	237644
74	19152	236215
75	19200	233440
76	19475	233456
77	19744	233388
78	19803	230868
79	20076	230884
80	20372	231140
81	20425	228670
82	20667	228339
83	20910	228021
84	21183	228028
85	21215	225481
86	21244	222945
87	21507	222898
88	21780	222949
89	21839	220818
90	21874	218506
91	22159	218705
92	22448	218937
93	22478	216658
94	22503	214377
95	22785	214566
96	23117	215210
97	23380	215200
98	23677	215492
99	23790	214114
100	24047	214042
101	24347	214351
102	24633	214525
103	24713	212915
104	24780	211222
105	25086	211578
106	25210	210402
107	25251	208561
108	25536	208746
109	25580	206973
110	25864	207150
111	26149	207329
112	26443	207569
113	26489	205876
114	26768	205997
115	27038	206051
116	27346	206384
117	27370	204582
118	27410	202930
119	27654	202800
120	27728	201432
121	27766	199828
122	27792	198160
123	28074	198335
124	28351	198461
125	28603	198408
126	28641	196881
127	28917	196998
128	28941	195413
129	29279	195944
130	29587	196268
131	29683	195194
132	30023	195715
133	30324	195975
134	30577	195925
135	30619	194523
136	30909	194709
137	30973	193473
138	31044	192296
139	31351	192589
140	31623	192656
141	31660	191300
142	31815	190669
143	31842	189287
144	31923	188238
145	32200	188351
146	32240	187080
147	32523	187231
148	32776	187201
149	33065	187371
150	33355	187541
151	33618	187555
152	33642	186241
153	33912	186295
154	33941	185035
155	34194	185002
156	34507	185286
157	34574	184250
158	34599	183009
159	34634	181828
160	34659	180618
161	34707	179533
162	35030	179881
163	35307	179983
164	35339	178839
165	35363	177669
166	35644	177797
167	35977	178172
168	36313	178557
169	36644	178912
170	36935	179062
171	37191	179037
172	37281	178216
173	37339	177255
174	37594	177228
175	37868	177292
176	38196	177601
177	38217	176488
178	38427	176251
179	38760	176576
180	38796	175547
181	38852	174624
182	38889	173620
183	39190	173801
184	39473	173896
185	39743	173930
186	39766	172886
187	40006	172796
188	40309	172966
189	40569	172953
190	40901	173244
191	41209	173421
192	41498	173520
193	41745	173438
194	42013	173442
195	42310	173557
196	42360	172665
197	42609	172590
198	42879	172593
199	43178	172715
200	43464	172778
201	43547	172034
202	43613	171230
203	43685	170460
204	43977	170548
205	44269	170630
206	44578	170777
207	44894	170944
208	44960	170160
209	45243	170203
210	45301	169398
211	45578	169412
212	45705	168875
213	45733	167973
214	45973	167856
215	46208	167718
216	46485	167734
217	46509	166838
218	46817	166959
219	46851	166110
220	46881	165252
221	46954	164553
222	47124	164194
223	47309	163892
224	47565	163836
225	47893	164025
226	48161	164002
227	48460	164084
228	48528	163385
229	48827	163465
230	49118	163517
231	49404	163545
232	49697	163597
233	49802	163028
234	49891	162412
235	50138	162312
236	50417	162315
237	50712	162365
238	51007	162413
239	51048	161652
240	51333	161667
241	51601	161628
242	51850	161524
243	52158	161605
244	52420	161542
245	52697	161521
246	52985	161531
247	53241	161441
248	53369	160965
249	53635	160907
250	53957	161012
251	54001	160290
252	54300	160325
253	54410	159803
254	54673	159730
255	54949	159696
256	55263	159770
257	55553	159769
258	55812	159679
259	56079	159611
260	56194	159110
261	56311	158616
262	56601	158612
263	56914	158670
264	57179	158592
265	57462	158560
266	57741	158517
267	57985	158379
268	58267	158340
269	58556	158318
270	58650	157772
271	58756	157260
272	59027	157191
273	59345	157244
274	59597	157121
275	59866	157040
276	60131	156949
277	60434	156957
278	60743	156973
279	61010	156884
280	61310	156875
281	61603	156847
282	61936	156920
283	62113	156596
284	62403	156556
285	62673	156464
286	62974	156447
287	63283	156449
288	63616	156509
289	63876	156386
290	64166	156335
291	64456	156286
292	64733	156201
293	65024	156147
294	65333	156136
295	65586	155990
296	65865	155903
297	65963	155389
298	66239	155296
299	66430	155005
300	66737	154981
301	67058	154988
302	67382	155002
303	67608	154787
304	67886	154692
305	68072	154387
306	68407	154418
307	68747	154458
308	69013	154330
309	69277	154198
310	69573	154136
311	69698	153693
312	70040	153730
313	70363	153724
314	70703	153753
315	71018	153722
316	71308	153640
317	71637	153637
318	71912	153519
319	72001	153004
320	72335	153007
321	72611	152889
322	72892	152780
323	73058	152429
324	73330	152301
325	73505	151970
326	73788	151864
327	73920	151447
328	74029	150984
329	74195	150638
330	74257	150084
331	74320	149537
332	74579	149382
333	74837	149227
334	75091	149062
335	75372	148951
336	75665	148861
337	75942	148740
338	76238	148653
339	76539	148576
340	76845	148507
341	77138	148413
342	77424	148303
343	77687	148149
344	77946	147985
345	78059	147546
346	78344	147432
347	78610	147282
348	78718	146836
349	78998	146710
350	79108	146272
351	79402	146173
352	79694	146069
353	80013	146012
354	80323	145939
355	80590	145787
356	80887	145687
357	81178	145577
358	81447	145426
359	81747	145328
360	82006	145158
361	82277	145008
362	82545	144851
363	82829	144723
364	83104	144579
365	83401	144470
366	83696	144358
367	83974	144216
368	84265	144096
369	84371	143660
370	84629	143483
371	84908	143339
372	85190	143202
373	85462	143046
374	85573	142621
375	85662	142162
376	85939	142016
377	86217	141871
378	86290	141388
379	86355	140896
380	86646	140772
381	86897	140582
382	87175	140437
383	87498	140362
384	87776	140214
385	87847	139736
386	88115	139572
387	88409	139450
388	88681	139291
389	88957	139139
390	89238	138992
391	89560	138910
392	89932	138902
393	90248	138808
394	90508	138626
395	90761	138434
396	91018	138247
397	91303	138101
398	91609	137988
399	91916	137874
400	92250	137800
401	92581	137720
402	92853	137551
403	93147	137415
404	93234	136974
405	93530	136839
406	93815	136690
407	94071	136495
408	94366	136358
409	94449	135915
410	94771	135816
411	95019	135610
412	95076	135133
413	95352	134968
414	95666	134854
415	95831	134532
416	96107	134365
417	96423	134254
418	96753	134161
419	97037	134003
420	97338	133868
421	97621	133708
422	97903	133547
423	98186	133385
424	98509	133277
425	98550	132788
426	98862	132665
427	99136	132490
428	99425	132335
429	99694	132153
430	100030	132059
431	100364	131960
432	100667	131820
433	100948	131651
434	101249	131507
435	101311	131054
436	101588	130879
437	101892	130738
438	102162	130553
439	102490	130442
440	102745	130237
441	103000	130032
442	103307	129891
443	103574	129700
444	103863	129538
445	103991	129173
446	104041	128713
447	104345	128568
448	104404	128121
449	104704	127971
450	104979	127790
451	105284	127646
452	105558	127462
453	105816	127259
454	106066	127046
455	106329	126849
456	106598	126658
457	106923	126533
458	107189	126338
459	107504	126200
460	107798	126037
461	108091	125873
462	108400	125726
463	108651	125511
464	108974	125379
465	109262	125206
466	109510	124987
467	109770	124781
468	110025	124570
469	110304	124385
470	110567	124182
471	110836	123986
472	111120	123806
473	111428	123652
474	111728	123489
475	112016	123312
476	112315	123147
477	112605	122971
478	112888	122787
479	113177	122608
480	113263	122211
481	113543	122024
482	113860	121875
483	114152	121699
484	114458	121538
485	114726	121336
486	115067	121210
487	115398	121073
488	115671	120876
489	115957	120690
490	116252	120514
491	116514	120303
492	116807	120124
493	117110	119955
494	117391	119763
495	117682	119580
496	117998	119423
497	118297	119247
498	118573	119048
499	118896	118896
500	119206	118730
501	119495	118543
502	119773	118344
503	120057	118151
504	120357	117974
505	120640	117779
506	120926	117587
507	121222	117404
508	121482	117186
509	121771	116996
510	122049	116794
511	122338	116603
512	122584	116371
513	122895	116201
514	123207	116029
515	123535	115874
516	123831	115687
517	124094	115470
518	124155	115064
519	124431	114859
520	124693	114641
521	124969	114435
522	125289	114269
523	125612	114106
524	125868	113881
525	126149	113678
526	126461	113503
527	126754	113310
528	126886	112974
529	127174	112777
530	127507	112619
531	127769	112398
532	128051	112195
533	128374	112027
534	128688	111850
535	128963	111640
536	129259	111446
537	129559	111257
538	129839	111049
539	130133	110854
540	130483	110705
541	130765	110498
542	131064	110306
543	131353	110105
544	131658	109916
545	131943	109711
546	132226	109503
547	132512	109298
548	132800	109094
549	133057	108864
550	133357	108670
551	133666	108482
552	133964	108286
553	134274	108098
554	134546	107879
555	134826	107667
556	135165	107501
557	135469	107307
558	135744	107089
559	136033	106883
560	136341	106691
561	136640	106492
562	136921	106278
563	137240	106093
564	137567	105914
565	137849	105701
566	138101	105463
567	138408	105268
568	138716	105073
569	139009	104867
570	139309	104665
571	139607	104461
572	139905	104257
573	140196	104048
574	140468	103824
575	140774	103626
576	141063	103413
577	141379	103221
578	141652	102997
579	141948	102789
580	142124	102496
581	142439	102301
582	142773	102121
583	143085	101924
584	143363	101702
585	143666	101498
586	143923	101261
587	144209	101044
588	144517	100843
589	144780	100610
590	145056	100386
591	145337	100164
592	145639	99958
593	145985	99781
